MAIN_ID,ra,dec,pmRA,pmDE,Vmag,Umag
HD  63432,117.4875837682213,+28.1987535621303,-3.232,-12.539,6.775,
HD 108791,187.6777256551866,-73.0887191558058,-7.204,-8.426,6.959,
HD  94180,163.0570567763949,+01.0249688693392,1.347,-3.332,6.370,
*  63 Sgr,300.4941637851993,-13.6372163990202,37.056,11.441,5.690,
V* TU Crv,188.9949713872315,-20.5274703677722,32.752,-52.767,6.184,
TYC 4156-1489-1,174.704767,+64.346978,18.0,6.2,6.80,
* nu. Eri,069.0797560079,-03.3524601883,1.53,-5.01,3.928,2.82
* iot Tri A,033.0928357607317,+30.3030665128414,-65.058,-58.592,5.162,
* L Vel,143.5366386087,-51.2552648869,-8.55,7.08,5.03,4.04
[SC96] GC 472,273.12,-39.32,,,6.82,
* ksi Cyg,316.2327595458,+43.9278512389,7.97,0.06,3.73,7.17
HD 168592,275.5773897229545,-38.6568976301892,-41.629,-29.046,5.073,
HD 154733,256.5751960426429,+22.0841536898982,-98.538,-37.857,5.565,
HD  74566,124.0714762548254,-86.5572920584078,-31.083,45.778,6.76,
HD  18885,045.4838290515439,-09.9614030481739,43.579,-4.611,5.837,
HD 114533,198.5722022212416,-78.4474541070414,-9.199,-4.315,5.839,
HD  19615,048.7814351943321,+73.8681446225513,-6.795,-30.098,6.56,
HD  59499,112.213138,-31.848394,-9.4,6.7,6.37,
HD 133790,227.2245680735148,-59.1421487795740,-10.933,-11.964,6.87,
*  56 Tau,064.9029375306868,+21.7734935075417,28.407,-42.039,5.346,
HD 190268,301.3577710976098,-34.6668731439039,23.175,-36.070,6.99,
* k Car,140.2367220622324,-62.4046336372971,-13.861,-0.197,4.800,
HD 126131,215.9904131664020,-16.1019105596106,-24.997,-6.111,6.69,
HD 142165,238.4746436747441,-24.5331592187917,-13.749,-25.043,5.372,4.95
HD 157661B,261.7157881216475,-45.8432172227203,-3.961,-29.727,6.47,
* n Tau,079.8191906422482,+22.0965089538367,11.544,-75.763,4.948,
HD 150038,250.1089705393200,-44.5739065465590,-2.435,-4.745,6.90,
V* FW Vir,189.5933509251550,+01.8546615235775,-78.938,-17.577,5.71,9.13
HD 115612,199.1193211408797,+68.4079986406164,-13.365,15.493,6.189,
HD 117710,202.8156934579807,+42.1061536258298,-96.194,27.544,6.065,
HD  15920,039.5084623763205,+72.8182529502443,-27.441,15.627,5.166,
HD 207503,327.4208950907412,-12.7228786701945,-8.06,21.11,6.298,
C 0257+602,044.84583,+60.56667,0.40,0.44,6.8,
HD  10863,026.5044078492748,-27.3488313524618,96.641,-44.984,6.385,
HD 167044,273.1341805560221,+24.4516637350240,11.736,5.451,6.97,
